Название статьи	Дата публикации	Автор статьи	Рубрика	Путь к файлу	Название статьи (lemma)
Решение Снежского сельского Совета народных депутатов	Август 27th, 2013 12:21 ПП	-	Информация	2013/August/1362.txt	решение снежский сельский совет народный депутат
Мой дом — Моя забота	Август 23rd, 2013 09:19 ДП	-	Информация	2013/August/1363.txt	мой дом — мой забота
ЛОВИСЬ, РЫБКА, БОЛЬШАЯ И МАЛЕНЬКАЯ!	Август 23rd, 2013 09:12 ДП	-	Район: день за днем	2013/August/1364.txt	ловиться, рыбка, большой и маленький!
ОТСЕЯТЬСЯ В СРОК	Апрель 30th, 2013 11:47 ДП	-	Район: день за днем	2013/April/1365.txt	отсеваться в срок
СКАЖИ НАРКОТИКАМ — НЕТ!	Апрель 30th, 2013 11:44 ДП	-	Район: день за днем	2013/April/1366.txt	сказать наркотик — нет!
ОТВЕТСТВЕННО И КОНСТРУКТИВНО	Апрель 30th, 2013 11:41 ДП	-	В администрации района	2013/April/1367.txt	ответственно и конструктивно
«НА ПОРОГЕ ДЕТСКОГО САДА»	Апрель 30th, 2013 11:38 ДП	-	Район: день за днем	2013/April/1368.txt	«на порог детский сад»
ВСЕ — НА СУББОТНИКИ!	Апрель 30th, 2013 11:34 ДП	-	Информация	2013/April/1369.txt	все — на субботник!
С ЦЕННЫМИ ПОДАРКАМИ	Апрель 30th, 2013 11:34 ДП	-	Спорт	2013/April/1370.txt	с ценный подарок
СКАЗАНО – СДЕЛАНО	Апрель 25th, 2013 12:46 ПП	-	Район: день за днем	2013/April/1371.txt	сказать – сделать
ГОВОРИМ СПАСИБО НАШЕМУ ДЕПУТАТУ	Апрель 25th, 2013 12:45 ПП	-	Район: день за днем	2013/April/1372.txt	говорить спасибо наш депутат
В СВЯЗИ С ПАВОДКОМ НА БРЯНЩИНЕ ОБЪЯВЛЕНА ЧРЕЗВЫЧАЙНАЯ СИТУАЦИЯ	Апрель 25th, 2013 12:44 ПП	-	Район: день за днем	2013/April/1373.txt	в связь с паводок на брянщина объявлять чрезвычайный ситуация
«НАШИ ТАЛАНТЫ — ТЕБЕ, РОССИЯ!»	Апрель 19th, 2013 12:18 ПП	-	В администрации района	2013/April/1374.txt	«наш талант — ты, россия!»
С НАСТУПАЮЩИМ 2013 ГОДОМ И РОЖДЕСТВОМ ХРИСТОВЫМ!	Декабрь 28th, 2012 10:46 ДП	-	Разное	2012/December/1375.txt	с наступать 2013 год и рождество христов!
ПЕРСПЕКТИВНЫЙ АГРОПРОЕКТ	Декабрь 28th, 2012 10:39 ДП	-	Район: день за днем	2012/December/1376.txt	перспективный агропроект
ПОЗДРАВИЛИ ДЕТЕЙ	Декабрь 28th, 2012 10:33 ДП	-	Район: день за днем	2012/December/1377.txt	поздравлять ребенок
О ДЕНЕЖНЫХ ВЫПЛАТАХ ПРИ РОЖДЕНИИ (УСЫНОВЛЕНИИ) ТРЕТЬЕГО ИЛИ ПОСЛЕДУЮЩИХ ДЕТЕЙ	Декабрь 28th, 2012 10:32 ДП	-	Службы информируют	2012/December/1378.txt	о денежный выплата при рождение (усыновление) третий или последующий ребенок
ЗДРАВСТВУЙ, ЕЛОЧКА!	Декабрь 26th, 2012 02:07 ПП	-	Район: день за днем	2012/December/1379.txt	здравствовать, елочка!
ДОБРЫЕ СЕРДЦА	Декабрь 26th, 2012 02:06 ПП	-	Район: день за днем	2012/December/1380.txt	добрый сердце
ПОДАРКИ ДЕТЯМ	Декабрь 26th, 2012 02:02 ПП	-	Службы информируют	2012/December/1381.txt	подарок ребенок
СОБЛЮДАЙТЕ МЕРЫ БЕЗОПАСНОСТИ ПРИ ИСПОЛЬЗОВАНИИ ПИРОТЕХНИКИ!	Декабрь 26th, 2012 02:02 ПП	-	Информация	2012/December/1382.txt	соблюдать мера безопасность при использование пиротехника!
НИКТО НЕ МОЖЕТ ОСТАВАТЬСЯ РАВНОДУШНЫМ, КОГДА РЕЧЬ ИДЕТ О БУДУЩЕМ РОССИИ	Декабрь 24th, 2012 11:40 ДП	-	Народ и власть	2012/December/1383.txt	никто не мочь оставаться равнодушный, когда речь идти о будущее россия
И СНОВА В ЗАГСЕ СВИДЕТЕЛЬСТВО № 500	Декабрь 24th, 2012 11:38 ДП	-	Район: день за днем	2012/December/1384.txt	и снова в загс свидетельство № 500
ОТКРЫТИЕ МАГАЗИНА ОАО «СНЕЖКА»	Август 31st, 2012 09:18 ДП	-	Район: день за днем	2012/August/1385.txt	открытие магазин оао «снежок»
ХОРОШАЯ ТРАДИЦИЯ РАЙОНА	Август 31st, 2012 09:13 ДП	-	Разное	2012/August/1386.txt	хороший традиция район
У БРЯНСКОГО РАЙОНА — 2 МЕСТО В КОНКУСЕ «ПРИЗАНИЕ»	Август 30th, 2012 01:32 ПП	-	Район: день за днем	2012/August/1387.txt	у брянский район — 2 место в конкус «призание»
МИЧУРИНСКИЙ: ЛЮДИ НЕ ДОЛЖНЫ СТРАДАТЬ ИЗ-ЗА ЧЬЕГО-ТО ЭГОИЗМА	Август 30th, 2012 01:31 ПП	-	Народ и власть	2012/August/1388.txt	мичуринский: человек не должный страдать из-за чей-то эгоизм
Гринландия — 2012	Август 28th, 2012 08:41 ДП	-	Разное	2012/August/1389.txt	гринландия — 2012
ЖИЛЬЕ ДЛЯ МОЛОДЫХ: МИФ ИЛИ РЕАЛЬНОСТЬ?	Август 27th, 2012 09:08 ДП	-	Район: день за днем	2012/August/1390.txt	жилье для молодой: миф или реальность?
В СТЕКЛЯННОЙ РАДИЦЕ УЖЕ ВИДЕН РЕЗУЛЬТАТ	Август 27th, 2012 09:06 ДП	-	Район: день за днем	2012/August/1391.txt	в стеклянный радица уже видный результат
ПАЛЬЦО НЕ ОСТАЁТСЯ БЕЗ ВНИМАНИЯ	Август 27th, 2012 08:52 ДП	-	Район: день за днем	2012/August/1392.txt	пальцо не оставаться без внимание
ГЛАВНАЯ ЦЕННОСТЬ ЖИЗНИ — ОБЩЕНИЕ С ЛЮДЬМИ	Август 23rd, 2012 12:21 ПП	-	Наши земляки	2012/August/1393.txt	главный ценность жизнь — общение с человек
ЗАСЛУЖЕННЫЙ ПОЧЁТ	Апрель 27th, 2012 03:54 ПП	-	В администрации района	2012/April/1394.txt	заслуженный почет
НАЧАЛЬНИК УМВД ПРОВЕЛ ПРИЕМ	Апрель 27th, 2012 03:53 ПП	-	В администрации района	2012/April/1395.txt	начальник умвд проводить прием
ПО ПОЛЮ, ПО ВЛАЖНОМУ ПОЛЮ…	Апрель 27th, 2012 03:49 ПП	-	Район: день за днем	2012/April/1396.txt	по поле, по влажный поле…
РАЗВИТИЕ ЭКОНОМИКИ — ОСНОВНАЯ ЦЕЛЬ	Апрель 19th, 2012 10:46 ДП	-	Район: день за днем	2012/April/1397.txt	развитие экономика — основной цель
«НОВЫЙ ПУТЬ» НА НОВОМ ПУТИ	Апрель 19th, 2012 10:40 ДП	-	Район: день за днем	2012/April/1398.txt	«новый путь» на новый путь
СВЕТЛАЯ ПАСХА	Апрель 19th, 2012 10:37 ДП	-	Здоровье	2012/April/1399.txt	светлый пасха
«ГОЛОВОКРУЖИТЕЛЬНЫЙ АККОРДЕОН» ВАДИМА ЧЕКУСОВА	Апрель 19th, 2012 10:36 ДП	-	Разное	2012/April/1400.txt	«головокружительный аккордеон» вадим чекусов
ЗАВЕРШЕНИЕ ЗИМОВКИ, ПОДГОТОВКА К СЕВУ	Апрель 13th, 2012 12:23 ПП	-	Район: день за днем	2012/April/1401.txt	завершение зимовка, подготовка к сев
СОВМЕСТНЫЙ УСПЕХ В ДЕЛЕ ВОСПИТАНИЯ	Апрель 13th, 2012 12:20 ПП	-	Разное	2012/April/1402.txt	совместный успех в дело воспитание
«ХРУСТАЛЬНЫЙ МИКРОФОН» У ПОБЕДИТЕЛЯ	Апрель 13th, 2012 12:18 ПП	-	Разное	2012/April/1403.txt	«хрустальный микрофон» у победитель
С НОВЫМ ГОДОМ!	Декабрь 30th, 2011 09:09 ДП	-	Разное	2011/December/1404.txt	с новый год!
ПО ПУТИ УВЕРЕННОГО РАЗВИТИЯ	Декабрь 30th, 2011 09:06 ДП	-	Район: день за днем	2011/December/1405.txt	по путь уверенный развитие
НА ЛИЧНОМ ПРИМЕРЕ	Декабрь 22nd, 2011 01:30 ПП	-	Спорт	2011/December/1406.txt	на личный пример
ВСТРЕЧА В МОСКВЕ	Декабрь 22nd, 2011 01:22 ПП	-	Наши земляки	2011/December/1407.txt	встреча в москва
ПЛЮС ТРИ ДЕТСКИЕ ПЛОЩАДКИ	Декабрь 22nd, 2011 01:19 ПП	-	Район: день за днем	2011/December/1408.txt	плюс три детский площадка
НОВЫЙ ОБЛИК ДОМАШОВСКОЙ ПОЧТЫ	Декабрь 22nd, 2011 01:18 ПП	-	Район: день за днем	2011/December/1409.txt	новый облик домашовский почта
ЗА СОВРЕМЕННУЮ РОССИЮ И ЕЁ БУДУЩЕЕ	Декабрь 8th, 2011 08:59 ДП	-	Народ и власть	2011/December/1410.txt	за современный россия и ее будущее
ОДИН ДЕНЬ, КОТОРЫЙ ЗАПОМНИТСЯ НА ВЕСЬ ГОД	Август 24th, 2011 12:52 ПП	-	Разное	2011/August/1411.txt	один день, который запоминаться на весь год
ЮБИЛЕЙ ФРОНТОВОЙ ГАЗЕТЫ	Август 24th, 2011 12:49 ПП	-	Судьбы людские	2011/August/1412.txt	юбилей фронтовой газета
Вам нужна помощь? Звоните!	Август 23rd, 2011 09:43 ДП	-	Информация	2011/August/1413.txt	вы нужный помощь? звонить!
НИ ХВОСТА, НИ ЧЕШУИ!	Август 19th, 2011 11:17 ДП	-	Профессиональный праздник	2011/August/1414.txt	ни хвост, ни чешуя!
НА ПОРОГЕ НОВОГО УЧЕБНОГО ГОДА	Август 19th, 2011 11:15 ДП	-	Район: день за днем	2011/August/1415.txt	на порог новый учебный год
ХЛЕБОРОБЫ НЕ ЖДУТ МИЛОСТИ ОТ ПРИРОДЫ	Август 19th, 2011 11:14 ДП	-	Район: день за днем	2011/August/1416.txt	хлебороб не ждать милость от природа
В ЗОНЕ ПОВСЕДНЕВНОГО РИСКА	Август 19th, 2011 11:13 ДП	-	Район: день за днем	2011/August/1417.txt	в зона повседневный риск
ГОТОВНОСТЬ ШКОЛ К УЧЕБНОМУ ГОДУ	Август 12th, 2011 11:09 ДП	-	В администрации района	2011/August/1418.txt	готовность школа к учебный год
Прививать — не прививать?	Апрель 22nd, 2011 01:36 ПП	-	Здоровье	2011/April/1419.txt	прививать — не прививать?
ЗА САМООТВЕРЖЕННОСТЬ И МУЖЕСТВО	Апрель 22nd, 2011 11:54 ДП	-	Наши земляки	2011/April/1420.txt	за самоотверженность и мужество
СЕВ ИДЕТ	Апрель 22nd, 2011 11:52 ДП	-	Район: день за днем	2011/April/1421.txt	садиться идти
ГРАФИК выездов передвижного флюорографа в Брянском районе	Апрель 22nd, 2011 11:50 ДП	-	Информация	2011/April/1422.txt	график выезд передвижной флюорограф в брянский район
НОВЫЕ ТЕХНОЛОГИИ: ПЛУГ ТЕПЕРЬ НЕ НУЖЕН	Апрель 22nd, 2011 11:49 ДП	-	Район: день за днем	2011/April/1423.txt	новый технология: плуг теперь не нужный
АВТОПРОБЕГ	Апрель 22nd, 2011 11:47 ДП	-	Информация	2011/April/1424.txt	автопробег
Пасхальный фестиваль	Апрель 22nd, 2011 11:46 ДП	-	Информация	2011/April/1425.txt	пасхальный фестиваль
РАБОТА — ВАЖНАЯ ЧАСТЬ ЖИЗНИ	Апрель 22nd, 2011 11:46 ДП	-	Профессиональный праздник	2011/April/1426.txt	работа — важный часть жизнь
ЭТО ЗАБВЕНИЮ НЕ ПОДЛЕЖИТ!	Апрель 22nd, 2011 09:32 ДП	-	Судьбы людские	2011/April/1427.txt	это забвение не подлежать!
В ГРАФИКЕ ПОСЕВНОЙ	Апрель 22nd, 2011 09:29 ДП	-	Район: день за днем	2011/April/1428.txt	в график посевная
ДОШКОЛЬНОЕ ОБРАЗОВАНИЕ РАЗВИВАЕТСЯ	Ноябрь 25th, 2015 11:43 ДП	-	Разное	2015/November/1429.txt	дошкольный образование развиваться
ОЧЕРЕДНОЕ НОВОСЕЛЬЕ В ПАЛЬЦО	Ноябрь 18th, 2015 09:15 ДП	-	Район: день за днем	2015/November/1430.txt	очередной новоселье в пальцо
ИНФОРМКУРЬЕР	Ноябрь 18th, 2015 09:14 ДП	-	Район: день за днем	2015/November/1431.txt	информкурьер
В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ	Ноябрь 18th, 2015 09:13 ДП	-	Народ и власть	2015/November/1432.txt	в правительство область
«НАШ САМЫЙ ЛУЧШИЙ ДЕТСКИЙ САД»	Сентябрь 25th, 2015 09:49 ДП	-	Профессиональный праздник	2015/September/1433.txt	«наш самый хороший детский сад»
Стартовал Международный грантовый конкурс «Православная инициатива 2015-2016»	Сентябрь 25th, 2015 08:47 ДП	-	Информация	2015/September/1434.txt	стартовать международный грантовый конкурс «православный инициатива 2015-2016»
НАГРАДИЛИ ЮНЫХ ХУДОЖНИКОВ	Сентябрь 4th, 2015 09:54 ДП	-	Народ и власть	2015/September/1435.txt	награждать юный художник
ЗАГОТОВКА КОРМОВ ПРОДОЛЖАЕТСЯ	Сентябрь 4th, 2015 09:53 ДП	-	Район: день за днем	2015/September/1436.txt	заготовка корм продолжаться
ЗАРОСЛИ НА МАШИННОМ ДВОРЕ	Сентябрь 4th, 2015 09:52 ДП	-	Район: день за днем	2015/September/1437.txt	заросль на машинный двор
БЛАГОТВОРИТЕЛЬНАЯ АКЦИЯ	Сентябрь 4th, 2015 09:52 ДП	-	Информация	2015/September/1438.txt	благотворительный акция
В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ	Сентябрь 4th, 2015 09:51 ДП	-	Народ и власть	2015/September/1439.txt	в правительство область
ТЕПЛОХОДОМ ПО ДЕСНЕ	Сентябрь 4th, 2015 09:51 ДП	-	Письмо в газету	2015/September/1440.txt	теплоход по десна
ВЕЧНАЯ ПАМЯТЬ ОСВОБОДИТЕЛЯМ…	Сентябрь 4th, 2015 09:50 ДП	-	«Творцы Победы»	2015/September/1441.txt	вечный память освободитель…
АГРОХОЛДИНГ «ОХОТНО» ПОКОРИЛ ОЧЕРЕДНОЙ РУБЕЖ СВОЕГО РАЗВИТИЯ	Июль 29th, 2015 10:56 ДП	-	Район: день за днем	2015/July/1442.txt	агрохолдинг «охотно» покорять очередной рубеж свой развитие
ВАЛЕНТИН ДИНАБУРГСКИЙ: ДУША ЧЕЛОВЕКА НЕ СТАРЕЕТ	Июль 29th, 2015 10:55 ДП	-	Наши земляки	2015/July/1443.txt	валентин динабургский: душа человек не стареть
ИНФОРМКУРЬЕР	Июль 29th, 2015 10:53 ДП	-	Район: день за днем	2015/July/1444.txt	информкурьер
В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ	Июль 29th, 2015 10:53 ДП	-	Народ и власть	2015/July/1445.txt	в правительство область
«ВМЕСТЕ УЧИЛИСЬ И ВМЕСТЕ МЕЧТАЛИ ВЫСЬ ПОКОРИТЬ НАВСЕГДА»	Июль 29th, 2015 10:52 ДП	-	Это интересно	2015/July/1446.txt	«вместе учиться и вместе мечтать высь покорять навсегда»
ИДЕТ УБОРОЧНАЯ СТРАДА	Июль 29th, 2015 10:52 ДП	-	Район: день за днем	2015/July/1447.txt	идти уборочная страда
С ДОБРОМ К ЛЮДЯМ	Июль 29th, 2015 10:50 ДП	-	Наши земляки	2015/July/1448.txt	с добро к человек
НЕЗАВИСИМАЯ ОЦЕНКА ПОЖАРНЫХ РИСКОВ	Июль 16th, 2015 08:12 ПП	-	Службы информируют	2015/July/1449.txt	независимый оценка пожарный риск
ИМЯ ПОБЕДЫ	Июль 16th, 2015 08:06 ПП	-	К 70-летию Великой Победы	2015/July/1450.txt	имя победа
УГОЛОК ДЕТСТВА	Июль 16th, 2015 08:02 ПП	-	Письмо в газету	2015/July/1451.txt	уголок детство
ВПЕРЕДИ — ЖАТВА	Июль 16th, 2015 12:50 ПП	-	Район: день за днем	2015/July/1452.txt	впереди — жатва
ВЫСТАВКА РАБОТ УЧАСТНИКОВ ПЛЕНЭРА	Июль 23rd, 2015 08:57 ДП	-	Район: день за днем	2015/July/1453.txt	выставка работа участник пленэр
ИНФОРМКУРЬЕР	Июль 23rd, 2015 08:56 ДП	-	Район: день за днем	2015/July/1454.txt	информкурьер
100 ЛЕТ С ЧИТАТЕЛЯМИ	Июль 23rd, 2015 08:56 ДП	-	Это интересно	2015/July/1455.txt	100 год с читатель
В БРЯНСКЕ СТАРТУЕТ ПОДГОТОВКА КО ДНЮ ГОРОДА	Июль 23rd, 2015 08:54 ДП	-	Информация	2015/July/1456.txt	в брянск стартовать подготовка ко день город
В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ	Июль 23rd, 2015 08:53 ДП	-	Народ и власть	2015/July/1457.txt	в правительство область
СПЕШИТЕ ДЕЛАТЬ ДОБРО!	Июль 23rd, 2015 08:52 ДП	-	Службы информируют	2015/July/1458.txt	спешить делать добро!
ВЯЗЬМА — НЕИЗВЕСТНАЯ СТОЛИЦА	Июль 23rd, 2015 08:52 ДП	-	Это интересно	2015/July/1459.txt	вязьма — неизвестный столица
НА ПОРОГЕ ВЗРОСЛОЙ ЖИЗНИ	Май 28th, 2015 11:23 ДП	Александр КАЗАКОВ.	Район: день за днем	2015/May/1460.txt	на порог взрослый жизнь
ПЕСЕННЫЙ МАРАФОН В БРЯНСКОМ РАЙОНЕ	Май 28th, 2015 11:21 ДП	Ирина ЛИТВИНОВА.	Район: день за днем	2015/May/1461.txt	песенный марафон в брянский район
НА ПОВЕСТКЕ ДНЯ — ЗАЩИТА РАСТЕНИЙ	Май 28th, 2015 11:20 ДП	Валентин СТЕПАНОВ.	Район: день за днем	2015/May/1462.txt	на повестка день — защита растение
К ЛЕТУ ГОТОВЫ!	Май 28th, 2015 11:20 ДП	Детский сад Мичуринской школы.	Письмо в газету	2015/May/1463.txt	к лето готовый!
В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ	Май 20th, 2015 03:02 ПП	-	Народ и власть	2015/May/1464.txt	в правительство область
В МУЗЕЕ — КАБИНЕТ ДИНАБУРГСКОГО	Май 20th, 2015 03:00 ПП	Александр КАЗАКОВ.	Наши земляки	2015/May/1465.txt	в музей — кабинет динабургский
ДЕНЬ СЛАВЯНСКОЙ ПИСЬМЕННОСТИ И КУЛЬТУРЫ В БРЯНСКОМ РАЙОНЕ	Май 20th, 2015 02:59 ПП	-	Информация	2015/May/1466.txt	день славянский письменность и культура в брянский район
В ДОБРЫЙ ПУТЬ, ПРИЗЫВНИКИ!	Май 20th, 2015 02:58 ПП	Виктор ПИСАРЕВ.	Наши земляки	2015/May/1467.txt	в добрый путь, призывник!
НЕ ДОПУСКАТЬ ЗАДОЛЖЕННОСТИ ПО НАЛОГАМ	Май 20th, 2015 02:57 ПП	Артем СЕРГЕЕВ.	Службы информируют	2015/May/1468.txt	не допускать задолженность по налог
В БРЯНСКОЙ ОБЛАСТНОЙ ДУМЕ	Май 20th, 2015 02:57 ПП	-	Народ и власть	2015/May/1469.txt	в брянский областной дума
МАЛЕНЬКИЕ ГЕРОИ БОЛЬШОЙ ВОЙНЫ	Май 20th, 2015 02:56 ПП	Е.М. Увижева.	Культурно-массовые, спортивные и общественно-просветительские мероприятия	2015/May/1470.txt	маленький герой большой война
УЧАСТНИК ШТУРМА РЕЙХСТАГА	Май 20th, 2015 02:55 ПП	Карина Сигаева,	«Творцы Победы»	2015/May/1471.txt	участник штурм рейхстаг
ЧЕРЕЗ ВЕКА, ЧЕРЕЗ ГОДА — ПОМНИТЕ!	Май 20th, 2015 02:54 ПП	И.А. Плахов.	Культурно-массовые, спортивные и общественно-просветительские мероприятия	2015/May/1472.txt	через век, через год — помнить!
БЛАГОУСТРОИЛИ ПАМЯТНИК	Май 20th, 2015 02:53 ПП	Д. Воробьева, 10 класс.	Культурно-массовые, спортивные и общественно-просветительские мероприятия	2015/May/1473.txt	благоустраивать памятник
СОЧИНСКИЙ ЕВГЕНИЙ ФЕДОРОВИЧ	Март 21st, 2015 12:08 ПП	-	Вручение юбилейной медали «70 лет Победы в Великой Отечественной войне 1941-1945 гг.»	2015/March/1474.txt	сочинский евгений федорович
ДОРОХОВА ЕКАТЕРИНА ЯКОВЛЕВНА	Март 21st, 2015 11:52 ДП	-	Вручение юбилейной медали «70 лет Победы в Великой Отечественной войне 1941-1945 гг.»	2015/March/1475.txt	дорохов екатерина яковлевна
МАСЛЁНОВ МИХАИЛ НИКИФОРОВИЧ	Март 21st, 2015 11:46 ДП	-	Вручение юбилейной медали «70 лет Победы в Великой Отечественной войне 1941-1945 гг.»	2015/March/1476.txt	маслен михаил никифорович
ЛАТЫШЕВ НИКОЛАЙ ЯКОВЛЕВИЧ 	Март 21st, 2015 11:34 ДП	-	Вручение юбилейной медали «70 лет Победы в Великой Отечественной войне 1941-1945 гг.»	2015/March/1477.txt	латышев николай яковлевич 
ТКАЧЕВ ВАСИЛИЙ ЕГОРОВИЧ	Март 21st, 2015 11:32 ДП	-	Вручение юбилейной медали «70 лет Победы в Великой Отечественной войне 1941-1945 гг.»	2015/March/1478.txt	ткачев василий егорович
ЖУКОВ ИВАН ЕФРЕМОВИЧ	Март 21st, 2015 11:08 ДП	-	Вручение юбилейной медали «70 лет Победы в Великой Отечественной войне 1941-1945 гг.»	2015/March/1479.txt	жуков иван ефремович
АРТАМОНОВ СЕРГЕЙ ИВАНОВИЧ	Март 21st, 2015 10:51 ДП	-	Вручение юбилейной медали «70 лет Победы в Великой Отечественной войне 1941-1945 гг.»	2015/March/1480.txt	артамонов сергей иванович
ПОД ЗНАМЕНЕМ ПОБЕДЫ ПО БРЯНСКОЙ ЗЕМЛЕ	Март 10th, 2015 12:52 ПП	-	К 70-летию Великой Победы	2015/March/1481.txt	под знамя победа по брянский земля
НЕ УПУСТИТЬ АГРОТЕХНИЧЕСКИЕ СРОКИ	Март 27th, 2015 09:36 ДП	Константин ЩЕГЛОВ.	Район: день за днем	2015/March/1482.txt	не упускать агротехнический срок
НАВСТРЕЧУ ВЕЛИКОМУ ПРАЗДНИКУ	Январь 21st, 2015 12:59 ПП	-	К 70-летию Великой Победы	2015/January/1483.txt	навстречу великий праздник
ИНФОРМКУРЬЕР	Январь 21st, 2015 12:58 ПП	-	Район: день за днем	2015/January/1484.txt	информкурьер
В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ	Январь 21st, 2015 12:58 ПП	-	Народ и власть	2015/January/1485.txt	в правительство область
СОТРУДНИЧЕСТВО ВО ИМЯ РАЗВИТИЯ	Январь 21st, 2015 12:57 ПП	Наталия КРАСНОСЕЛЬСКАЯ.	Наши земляки	2015/January/1486.txt	сотрудничество во имя развитие
СТАВКА НА ИНДУСТРИАЛИЗАЦИЮ	Ноябрь 28th, 2014 11:22 ДП	        Н.М. БЕЛОУС,	Народ и власть	2014/November/1487.txt	ставка на индустриализация
ПОЛУЧЕНИЕ СЕРТИФИКАТА	Ноябрь 28th, 2014 11:20 ДП	УПФР (ГУ) в Брянском муниципальном районе.	Службы информируют	2014/November/1488.txt	получение сертификат
АЛЕКСАНДР БОГОМАЗ: «ФРОНТОВИКИ» ДОЛЖНЫ «ЗАСВЕЧИВАТЬ» И ПОКАЗЫВАТЬ ТЕ НАПРАВЛЕНИЯ, ГДЕ ВЛАСТЬ РАБОТАЕТ НЕЭФФЕКТИВНО!»	Ноябрь 21st, 2014 09:12 ДП	-	Народ и власть	2014/November/1489.txt	александр богомаз: «фронтовик» должный «засвечивать» и показывать тот направление, где власть работать неэффективно!»
ЧЕЛОВЕК С БОЛЬШИМ СЕРДЦЕМ	Ноябрь 21st, 2014 09:10 ДП	С уважением, родители:	Письмо в газету	2014/November/1490.txt	человек с большой сердце
ПРИЮТ «ДОБРЫЕ РУКИ»	Ноябрь 21st, 2014 09:09 ДП	-	Спрашивали – отвечаем	2014/November/1491.txt	приют «добрый рука»
СПАСИБО ЧИТАТЕЛЯМ	Ноябрь 21st, 2014 09:08 ДП	Работники межпоселенческой	Разное	2014/November/1492.txt	спасибо читатель
  ПОБЕДА ДОБРУНИ	Ноябрь 21st, 2014 09:08 ДП	Дмитрий НИКОЛАЕВ.	Спорт	2014/November/1493.txt	  победа добруни
СПЕЦИАЛИСТ ВЫСОКОГО КЛАССА	Ноябрь 21st, 2014 09:07 ДП	Юлия Таперо,	Наши земляки	2014/November/1494.txt	специалист высокий класс
СПОРТСМЕН БРЯНСКОГО РАЙОНА СТАЛ РЕКОРДСМЕНОМ БРЯНСКОЙ ОБЛАСТИ ПО ЖИМУ ЛЁЖА	Ноябрь 21st, 2014 09:06 ДП	Дмитрий Кулешов.	Спорт	2014/November/1495.txt	спортсмен брянский район становиться рекордсмен брянский область по жим лежа
ПРОДЛЕНО ВСТУПЛЕНИЕ В ПРОГРАММУ ГОСУДАРСТВЕННОГО СОФИНАНСИРОВАНИЯ ПЕНСИИ	Ноябрь 21st, 2014 09:05 ДП	УПФР (ГУ) в Брянском районе.	Службы информируют	2014/November/1496.txt	продлять вступление в программа государственный софинансирование пенсия
ВАЛЕНТИН КУЗЬМИН: «КОРРУПЦИЮ МОЖНО ПОБЕДИТЬ, ТОЛЬКО ДЕЙСТВУЯ СООБЩА С МЕСТНОЙ ВЛАСТЬЮ»	Ноябрь 7th, 2014 10:37 ДП	Наталья Тимченко.	Народ и власть	2014/November/1497.txt	валентин кузьмин: «коррупция можно побеждать, только действовать сообща с местный власть»
ВМЕСТЕ МЫ — РОССИЯ!	Ноябрь 7th, 2014 10:36 ДП	-	Народ и власть	2014/November/1498.txt	вместе мы — россия!
ДЕНЬ ПРИЗЫВНИКА	Ноябрь 7th, 2014 10:35 ДП	Артур СЕРГЕЕВ.	Район: день за днем	2014/November/1499.txt	день призывник
НАШ ЗНАМЕНИТЫЙ ЗЕМЛЯК	Ноябрь 7th, 2014 10:34 ДП	Валентина Шатунова,	Наши земляки	2014/November/1500.txt	наш знаменитый земляк
ВНИМАНИЮ ГРАЖДАН, ПРИБЫВШИХ С ТЕРРИТОРИИ УКРАИНЫ!	Ноябрь 7th, 2014 10:33 ДП	Оперативный штаб Брянского района	Информация	2014/November/1501.txt	внимание гражданин, прибывать с территория украина!
ПОМОЩЬ УКРАИНСКИМ БЕЖЕНЦАМ	Ноябрь 7th, 2014 10:32 ДП	-	В администрации района	2014/November/1502.txt	помощь украинский беженец
ПРИШЛО ВРЕМЯ ДЕЙСТВОВАТЬ!	Сентябрь 12th, 2014 11:31 ДП	Евгений Паромный.	Народ и власть	2014/September/1503.txt	приходить время действовать!
ЖКХ: ВАЖНО ЗНАТЬ ПРИОРИТЕТЫ	Сентябрь 12th, 2014 11:29 ДП	Александр КАЗАКОВ.	Район: день за днем	2014/September/1504.txt	жкх: важно знать приоритет
ПОВЫСИТЬ ЭФФЕКТИВНОСТЬ РАБОТЫ АПК	Сентябрь 12th, 2014 11:28 ДП	  Светлана РОМАШОВА.	Народ и власть	2014/September/1505.txt	повышать эффективность работа апк
«ЗОЛОТО» НАСТИ ШАМАНОВОЙ	Сентябрь 12th, 2014 11:27 ДП	Вероника БОГАТЫРЁВА.	Наши земляки	2014/September/1506.txt	«золото» настя шаманова
НАША ЛЕТНЯЯ КУЛЬТУРНАЯ ПРОГРАММА	Сентябрь 12th, 2014 11:26 ДП	    Директор Меркульевского ДК	Район: день за днем	2014/September/1507.txt	наш летний культурный программа
НЕ ОСТАВАЙТЕСЬ РАВНОДУШНЫМИ!	Сентябрь 12th, 2014 11:24 ДП	-	Службы информируют	2014/September/1508.txt	не оставаться равнодушный!
