"Название статьи"	"Дата публикации"	"Автор статьи"	"Рубрика"	"Путь к файлу"
"ВНИМАНИЕ — ДЕТИ!"	"Август 29th, 2014 09:18 ДП"	"Инспектор ОГИБДД МО МВД России «Брянский»"	"Информация"	"2014/August/1331.txt"
"НАПОМНИТЕ РЕБЕНКУ ОБ ОСТОРОЖНОСТИ НА ДОРОГЕ"	"Август 29th, 2014 09:18 ДП"	"Светлана ЧЕРНОВА."	"Службы информируют"	"2014/August/1332.txt"
"ЕЩЕ КРАСИВЕЙ И СОВРЕМЕННЕЙ"	"Август 29th, 2014 09:16 ДП"	"Администрация МБОУ «Снежская средняя школа»."	"Письмо в газету"	"2014/August/1333.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"Август 29th, 2014 09:16 ДП"	"Пресс-служба."	"Народ и власть"	"2014/August/1334.txt"
"ВЕСТИ ИЗ ГЛИНИЩЕВСКОЙ ДЮСШ"	"Апрель 26th, 2014 11:25 ДП"	"-"	"Спорт"	"2014/April/1335.txt"
"«МИНУТА ТЕЛЕФОНА ДОВЕРИЯ»"	"Апрель 26th, 2014 11:24 ДП"	"-"	"Информация"	"2014/April/1336.txt"
"СОЦИАЛЬНАЯ СТИПЕНДИЯ"	"Апрель 26th, 2014 11:24 ДП"	"В.А. Зинакова,"	"Службы информируют"	"2014/April/1337.txt"
"СПАСИБО ЛЮДЯМ С ДОБРОЙ ДУШОЙ"	"Апрель 26th, 2014 11:22 ДП"	"Галина Майорова,"	"Район: день за днем"	"2014/April/1338.txt"
"В БРЯНСКОЙ ОБЛАСТИ  СТАРТОВАЛ ПРОЕКТ «ПАРТИЙНАЯ МОБИЛИЗАЦИЯ»"	"Апрель 26th, 2014 11:19 ДП"	"Исполком БРО ВПП"	"Народ и власть"	"2014/April/1339.txt"
"АЛЬТЕРНАТИВНОСТЬ ОБЕСПЕЧЕНА"	"Апрель 26th, 2014 11:18 ДП"	"-"	"Народ и власть"	"2014/April/1340.txt"
"КОНКУРСНЫЙ НАБОР СПЕЦИАЛИСТОВ ДЛЯ ОБУЧЕНИЯ В РАМКАХ ПРЕЗИДЕНТСКОЙ ПРОГРАММЫ В 2014/2015 УЧЕБНОМ ГОДУ "	"Апрель 26th, 2014 11:17 ДП"	"-"	"Информация"	"2014/April/1341.txt"
"УЧИМ ПРАВИЛА ДОРОЖНОГО ДВИЖЕНИЯ"	"Апрель 26th, 2014 11:17 ДП"	"-"	"Письмо в газету"	"2014/April/1342.txt"
"В  МОСКВУ — САМОЛЕТОМ"	"Апрель 26th, 2014 11:16 ДП"	"Пресс-служба."	"Информация"	"2014/April/1343.txt"
"РОДОМ ИЗ СВЕНИ"	"Апрель 26th, 2014 11:15 ДП"	"В.М. Чеботарёва,"	"Наши земляки"	"2014/April/1344.txt"
"С НОВЫМ ГОДОМ!"	"Декабрь 31st, 2013 09:06 ДП"	"-"	"Разное"	"2013/December/1345.txt"
"В НОВЫЙ ГОД — В СООТВЕТСТВИИ С НОВЫМ УСТАВОМ"	"Декабрь 27th, 2013 12:49 ПП"	"-"	"В администрации района"	"2013/December/1346.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"Декабрь 27th, 2013 12:48 ПП"	"-"	"Народ и власть"	"2013/December/1347.txt"
"ВЫСОКИЙ РЕЙТИНГ ВЛАСТИ"	"Декабрь 27th, 2013 12:46 ПП"	"-"	"Народ и власть"	"2013/December/1348.txt"
"АКЦИЯ «ДОБРЫЕ СЕРДЦА»"	"Декабрь 27th, 2013 12:45 ПП"	"-"	"Судьбы людские"	"2013/December/1349.txt"
"В ПОДДЕРЖКУ ИНИЦИАТИВНОЙ МОЛОДЕЖИ          "	"Декабрь 27th, 2013 12:39 ПП"	"-"	"Район: день за днем"	"2013/December/1350.txt"
"ПОИСКОВЫЙ СЛЕТ"	"Декабрь 27th, 2013 12:34 ПП"	"-"	"Разное"	"2013/December/1351.txt"
"КОНТРОЛЬ В СФЕРЕ ЖКХ"	"Декабрь 27th, 2013 12:22 ПП"	"-"	"Народ и власть"	"2013/December/1352.txt"
"«ДЕСНЯНСКАЯ» — ОДНА ИЗ ЛУЧШИХ"	"Декабрь 27th, 2013 12:21 ПП"	"-"	"Район: день за днем"	"2013/December/1353.txt"
"ЧЕМПИОНКИ РАЙОНА"	"Декабрь 27th, 2013 12:19 ПП"	"-"	"Спорт"	"2013/December/1354.txt"
"ОТВЕТСТВЕННО И КОНСТРУКТИВНО"	"Август 30th, 2013 01:57 ПП"	"-"	"В администрации района"	"2013/August/1355.txt"
"ЗДРАВСТВУЙ, ШКОЛА!"	"Август 30th, 2013 01:56 ПП"	"-"	"Район: день за днем"	"2013/August/1356.txt"
"ЯРКИЙ И КРАСОЧНЫЙ ПРАЗДНИК"	"Август 30th, 2013 01:53 ПП"	"-"	"Район: день за днем"	"2013/August/1357.txt"
"ПРИЗНАНИЕ НА ГОСУДАРСТВЕННОМ УРОВНЕ"	"Август 28th, 2013 01:21 ПП"	"-"	"Район: день за днем"	"2013/August/1358.txt"
"С ХОРОШИМ НАСТРОЕНИЕМ ВСТРЕЧАЛИ ГОСТЕЙ"	"Август 28th, 2013 12:36 ПП"	"-"	"Район: день за днем"	"2013/August/1359.txt"
"ПОСЕЛОК СТАНОВИТСЯ КРАСИВЕЕ"	"Август 28th, 2013 12:25 ПП"	"-"	"Район: день за днем"	"2013/August/1360.txt"
"ВЫПЛАТЫ НА ТРЕТЬЕГО РЕБЕНКА"	"Август 28th, 2013 12:21 ПП"	"-"	"Информация"	"2013/August/1361.txt"
"Решение Снежского сельского Совета народных депутатов"	"Август 27th, 2013 12:21 ПП"	"-"	"Информация"	"2013/August/1362.txt"
"Мой дом — Моя забота"	"Август 23rd, 2013 09:19 ДП"	"-"	"Информация"	"2013/August/1363.txt"
"ЛОВИСЬ, РЫБКА, БОЛЬШАЯ И МАЛЕНЬКАЯ!"	"Август 23rd, 2013 09:12 ДП"	"-"	"Район: день за днем"	"2013/August/1364.txt"
"ОТСЕЯТЬСЯ В СРОК"	"Апрель 30th, 2013 11:47 ДП"	"-"	"Район: день за днем"	"2013/April/1365.txt"
"СКАЖИ НАРКОТИКАМ — НЕТ!"	"Апрель 30th, 2013 11:44 ДП"	"-"	"Район: день за днем"	"2013/April/1366.txt"
"ОТВЕТСТВЕННО И КОНСТРУКТИВНО"	"Апрель 30th, 2013 11:41 ДП"	"-"	"В администрации района"	"2013/April/1367.txt"
"«НА ПОРОГЕ ДЕТСКОГО САДА»"	"Апрель 30th, 2013 11:38 ДП"	"-"	"Район: день за днем"	"2013/April/1368.txt"
"ВСЕ — НА СУББОТНИКИ!"	"Апрель 30th, 2013 11:34 ДП"	"-"	"Информация"	"2013/April/1369.txt"
"С ЦЕННЫМИ ПОДАРКАМИ"	"Апрель 30th, 2013 11:34 ДП"	"-"	"Спорт"	"2013/April/1370.txt"
"СКАЗАНО – СДЕЛАНО"	"Апрель 25th, 2013 12:46 ПП"	"-"	"Район: день за днем"	"2013/April/1371.txt"
"ГОВОРИМ СПАСИБО НАШЕМУ ДЕПУТАТУ"	"Апрель 25th, 2013 12:45 ПП"	"-"	"Район: день за днем"	"2013/April/1372.txt"
"В СВЯЗИ С ПАВОДКОМ НА БРЯНЩИНЕ ОБЪЯВЛЕНА ЧРЕЗВЫЧАЙНАЯ СИТУАЦИЯ"	"Апрель 25th, 2013 12:44 ПП"	"-"	"Район: день за днем"	"2013/April/1373.txt"
"«НАШИ ТАЛАНТЫ — ТЕБЕ, РОССИЯ!»"	"Апрель 19th, 2013 12:18 ПП"	"-"	"В администрации района"	"2013/April/1374.txt"
"С НАСТУПАЮЩИМ 2013 ГОДОМ И РОЖДЕСТВОМ ХРИСТОВЫМ!"	"Декабрь 28th, 2012 10:46 ДП"	"-"	"Разное"	"2012/December/1375.txt"
"ПЕРСПЕКТИВНЫЙ АГРОПРОЕКТ"	"Декабрь 28th, 2012 10:39 ДП"	"-"	"Район: день за днем"	"2012/December/1376.txt"
"ПОЗДРАВИЛИ ДЕТЕЙ"	"Декабрь 28th, 2012 10:33 ДП"	"-"	"Район: день за днем"	"2012/December/1377.txt"
"О ДЕНЕЖНЫХ ВЫПЛАТАХ ПРИ РОЖДЕНИИ (УСЫНОВЛЕНИИ) ТРЕТЬЕГО ИЛИ ПОСЛЕДУЮЩИХ ДЕТЕЙ"	"Декабрь 28th, 2012 10:32 ДП"	"-"	"Службы информируют"	"2012/December/1378.txt"
"ЗДРАВСТВУЙ, ЕЛОЧКА!"	"Декабрь 26th, 2012 02:07 ПП"	"-"	"Район: день за днем"	"2012/December/1379.txt"
"ДОБРЫЕ СЕРДЦА"	"Декабрь 26th, 2012 02:06 ПП"	"-"	"Район: день за днем"	"2012/December/1380.txt"
"ПОДАРКИ ДЕТЯМ"	"Декабрь 26th, 2012 02:02 ПП"	"-"	"Службы информируют"	"2012/December/1381.txt"
"СОБЛЮДАЙТЕ МЕРЫ БЕЗОПАСНОСТИ ПРИ ИСПОЛЬЗОВАНИИ ПИРОТЕХНИКИ!"	"Декабрь 26th, 2012 02:02 ПП"	"-"	"Информация"	"2012/December/1382.txt"
"НИКТО НЕ МОЖЕТ ОСТАВАТЬСЯ РАВНОДУШНЫМ, КОГДА РЕЧЬ ИДЕТ О БУДУЩЕМ РОССИИ"	"Декабрь 24th, 2012 11:40 ДП"	"-"	"Народ и власть"	"2012/December/1383.txt"
"И СНОВА В ЗАГСЕ СВИДЕТЕЛЬСТВО № 500"	"Декабрь 24th, 2012 11:38 ДП"	"-"	"Район: день за днем"	"2012/December/1384.txt"
"ОТКРЫТИЕ МАГАЗИНА ОАО «СНЕЖКА»"	"Август 31st, 2012 09:18 ДП"	"-"	"Район: день за днем"	"2012/August/1385.txt"
"ХОРОШАЯ ТРАДИЦИЯ РАЙОНА"	"Август 31st, 2012 09:13 ДП"	"-"	"Разное"	"2012/August/1386.txt"
"У БРЯНСКОГО РАЙОНА — 2 МЕСТО В КОНКУСЕ «ПРИЗАНИЕ»"	"Август 30th, 2012 01:32 ПП"	"-"	"Район: день за днем"	"2012/August/1387.txt"
"МИЧУРИНСКИЙ: ЛЮДИ НЕ ДОЛЖНЫ СТРАДАТЬ ИЗ-ЗА ЧЬЕГО-ТО ЭГОИЗМА"	"Август 30th, 2012 01:31 ПП"	"-"	"Народ и власть"	"2012/August/1388.txt"
"Гринландия — 2012"	"Август 28th, 2012 08:41 ДП"	"-"	"Разное"	"2012/August/1389.txt"
"ЖИЛЬЕ ДЛЯ МОЛОДЫХ: МИФ ИЛИ РЕАЛЬНОСТЬ?"	"Август 27th, 2012 09:08 ДП"	"-"	"Район: день за днем"	"2012/August/1390.txt"
"В СТЕКЛЯННОЙ РАДИЦЕ УЖЕ ВИДЕН РЕЗУЛЬТАТ"	"Август 27th, 2012 09:06 ДП"	"-"	"Район: день за днем"	"2012/August/1391.txt"
"ПАЛЬЦО НЕ ОСТАЁТСЯ БЕЗ ВНИМАНИЯ"	"Август 27th, 2012 08:52 ДП"	"-"	"Район: день за днем"	"2012/August/1392.txt"
"ГЛАВНАЯ ЦЕННОСТЬ ЖИЗНИ — ОБЩЕНИЕ С ЛЮДЬМИ"	"Август 23rd, 2012 12:21 ПП"	"-"	"Наши земляки"	"2012/August/1393.txt"
"ЗАСЛУЖЕННЫЙ ПОЧЁТ"	"Апрель 27th, 2012 03:54 ПП"	"-"	"В администрации района"	"2012/April/1394.txt"
"НАЧАЛЬНИК УМВД ПРОВЕЛ ПРИЕМ"	"Апрель 27th, 2012 03:53 ПП"	"-"	"В администрации района"	"2012/April/1395.txt"
"ПО ПОЛЮ, ПО ВЛАЖНОМУ ПОЛЮ…"	"Апрель 27th, 2012 03:49 ПП"	"-"	"Район: день за днем"	"2012/April/1396.txt"
"РАЗВИТИЕ ЭКОНОМИКИ — ОСНОВНАЯ ЦЕЛЬ"	"Апрель 19th, 2012 10:46 ДП"	"-"	"Район: день за днем"	"2012/April/1397.txt"
"«НОВЫЙ ПУТЬ» НА НОВОМ ПУТИ"	"Апрель 19th, 2012 10:40 ДП"	"-"	"Район: день за днем"	"2012/April/1398.txt"
"СВЕТЛАЯ ПАСХА"	"Апрель 19th, 2012 10:37 ДП"	"-"	"Здоровье"	"2012/April/1399.txt"
"«ГОЛОВОКРУЖИТЕЛЬНЫЙ АККОРДЕОН» ВАДИМА ЧЕКУСОВА"	"Апрель 19th, 2012 10:36 ДП"	"-"	"Разное"	"2012/April/1400.txt"
"ЗАВЕРШЕНИЕ ЗИМОВКИ, ПОДГОТОВКА К СЕВУ"	"Апрель 13th, 2012 12:23 ПП"	"-"	"Район: день за днем"	"2012/April/1401.txt"
"СОВМЕСТНЫЙ УСПЕХ В ДЕЛЕ ВОСПИТАНИЯ"	"Апрель 13th, 2012 12:20 ПП"	"-"	"Разное"	"2012/April/1402.txt"
"«ХРУСТАЛЬНЫЙ МИКРОФОН» У ПОБЕДИТЕЛЯ"	"Апрель 13th, 2012 12:18 ПП"	"-"	"Разное"	"2012/April/1403.txt"
"С НОВЫМ ГОДОМ!"	"Декабрь 30th, 2011 09:09 ДП"	"-"	"Разное"	"2011/December/1404.txt"
"ПО ПУТИ УВЕРЕННОГО РАЗВИТИЯ"	"Декабрь 30th, 2011 09:06 ДП"	"-"	"Район: день за днем"	"2011/December/1405.txt"
"НА ЛИЧНОМ ПРИМЕРЕ"	"Декабрь 22nd, 2011 01:30 ПП"	"-"	"Спорт"	"2011/December/1406.txt"
"ВСТРЕЧА В МОСКВЕ"	"Декабрь 22nd, 2011 01:22 ПП"	"-"	"Наши земляки"	"2011/December/1407.txt"
"ПЛЮС ТРИ ДЕТСКИЕ ПЛОЩАДКИ"	"Декабрь 22nd, 2011 01:19 ПП"	"-"	"Район: день за днем"	"2011/December/1408.txt"
"НОВЫЙ ОБЛИК ДОМАШОВСКОЙ ПОЧТЫ"	"Декабрь 22nd, 2011 01:18 ПП"	"-"	"Район: день за днем"	"2011/December/1409.txt"
"ЗА СОВРЕМЕННУЮ РОССИЮ И ЕЁ БУДУЩЕЕ"	"Декабрь 8th, 2011 08:59 ДП"	"-"	"Народ и власть"	"2011/December/1410.txt"
"ОДИН ДЕНЬ, КОТОРЫЙ ЗАПОМНИТСЯ НА ВЕСЬ ГОД"	"Август 24th, 2011 12:52 ПП"	"-"	"Разное"	"2011/August/1411.txt"
"ЮБИЛЕЙ ФРОНТОВОЙ ГАЗЕТЫ"	"Август 24th, 2011 12:49 ПП"	"-"	"Судьбы людские"	"2011/August/1412.txt"
"Вам нужна помощь? Звоните!"	"Август 23rd, 2011 09:43 ДП"	"-"	"Информация"	"2011/August/1413.txt"
"НИ ХВОСТА, НИ ЧЕШУИ!"	"Август 19th, 2011 11:17 ДП"	"-"	"Профессиональный праздник"	"2011/August/1414.txt"
"НА ПОРОГЕ НОВОГО УЧЕБНОГО ГОДА"	"Август 19th, 2011 11:15 ДП"	"-"	"Район: день за днем"	"2011/August/1415.txt"
"ХЛЕБОРОБЫ НЕ ЖДУТ МИЛОСТИ ОТ ПРИРОДЫ"	"Август 19th, 2011 11:14 ДП"	"-"	"Район: день за днем"	"2011/August/1416.txt"
"В ЗОНЕ ПОВСЕДНЕВНОГО РИСКА"	"Август 19th, 2011 11:13 ДП"	"-"	"Район: день за днем"	"2011/August/1417.txt"
"ГОТОВНОСТЬ ШКОЛ К УЧЕБНОМУ ГОДУ"	"Август 12th, 2011 11:09 ДП"	"-"	"В администрации района"	"2011/August/1418.txt"
"Прививать — не прививать?"	"Апрель 22nd, 2011 01:36 ПП"	"-"	"Здоровье"	"2011/April/1419.txt"
"ЗА САМООТВЕРЖЕННОСТЬ И МУЖЕСТВО"	"Апрель 22nd, 2011 11:54 ДП"	"-"	"Наши земляки"	"2011/April/1420.txt"
"СЕВ ИДЕТ"	"Апрель 22nd, 2011 11:52 ДП"	"-"	"Район: день за днем"	"2011/April/1421.txt"
"ГРАФИК выездов передвижного флюорографа в Брянском районе"	"Апрель 22nd, 2011 11:50 ДП"	"-"	"Информация"	"2011/April/1422.txt"
"НОВЫЕ ТЕХНОЛОГИИ: ПЛУГ ТЕПЕРЬ НЕ НУЖЕН"	"Апрель 22nd, 2011 11:49 ДП"	"-"	"Район: день за днем"	"2011/April/1423.txt"
"АВТОПРОБЕГ"	"Апрель 22nd, 2011 11:47 ДП"	"-"	"Информация"	"2011/April/1424.txt"
"Пасхальный фестиваль"	"Апрель 22nd, 2011 11:46 ДП"	"-"	"Информация"	"2011/April/1425.txt"
"РАБОТА — ВАЖНАЯ ЧАСТЬ ЖИЗНИ"	"Апрель 22nd, 2011 11:46 ДП"	"-"	"Профессиональный праздник"	"2011/April/1426.txt"
"ЭТО ЗАБВЕНИЮ НЕ ПОДЛЕЖИТ!"	"Апрель 22nd, 2011 09:32 ДП"	"-"	"Судьбы людские"	"2011/April/1427.txt"
"В ГРАФИКЕ ПОСЕВНОЙ"	"Апрель 22nd, 2011 09:29 ДП"	"-"	"Район: день за днем"	"2011/April/1428.txt"
"ДОШКОЛЬНОЕ ОБРАЗОВАНИЕ РАЗВИВАЕТСЯ"	"Ноябрь 25th, 2015 11:43 ДП"	"-"	"Разное"	"2015/November/1429.txt"
"ОЧЕРЕДНОЕ НОВОСЕЛЬЕ В ПАЛЬЦО"	"Ноябрь 18th, 2015 09:15 ДП"	"-"	"Район: день за днем"	"2015/November/1430.txt"
"ИНФОРМКУРЬЕР"	"Ноябрь 18th, 2015 09:14 ДП"	"-"	"Район: день за днем"	"2015/November/1431.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"Ноябрь 18th, 2015 09:13 ДП"	"-"	"Народ и власть"	"2015/November/1432.txt"
"«НАШ САМЫЙ ЛУЧШИЙ ДЕТСКИЙ САД»"	"Сентябрь 25th, 2015 09:49 ДП"	"-"	"Профессиональный праздник"	"2015/September/1433.txt"
"Стартовал Международный грантовый конкурс «Православная инициатива 2015-2016»"	"Сентябрь 25th, 2015 08:47 ДП"	"-"	"Информация"	"2015/September/1434.txt"
"НАГРАДИЛИ ЮНЫХ ХУДОЖНИКОВ"	"Сентябрь 4th, 2015 09:54 ДП"	"-"	"Народ и власть"	"2015/September/1435.txt"
"ЗАГОТОВКА КОРМОВ ПРОДОЛЖАЕТСЯ"	"Сентябрь 4th, 2015 09:53 ДП"	"-"	"Район: день за днем"	"2015/September/1436.txt"
"ЗАРОСЛИ НА МАШИННОМ ДВОРЕ"	"Сентябрь 4th, 2015 09:52 ДП"	"-"	"Район: день за днем"	"2015/September/1437.txt"
"БЛАГОТВОРИТЕЛЬНАЯ АКЦИЯ"	"Сентябрь 4th, 2015 09:52 ДП"	"-"	"Информация"	"2015/September/1438.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"Сентябрь 4th, 2015 09:51 ДП"	"-"	"Народ и власть"	"2015/September/1439.txt"
"ТЕПЛОХОДОМ ПО ДЕСНЕ"	"Сентябрь 4th, 2015 09:51 ДП"	"-"	"Письмо в газету"	"2015/September/1440.txt"
"ВЕЧНАЯ ПАМЯТЬ ОСВОБОДИТЕЛЯМ…"	"Сентябрь 4th, 2015 09:50 ДП"	"-"	"«Творцы Победы»"	"2015/September/1441.txt"
"АГРОХОЛДИНГ «ОХОТНО» ПОКОРИЛ ОЧЕРЕДНОЙ РУБЕЖ СВОЕГО РАЗВИТИЯ"	"Июль 29th, 2015 10:56 ДП"	"-"	"Район: день за днем"	"2015/July/1442.txt"
"ВАЛЕНТИН ДИНАБУРГСКИЙ: ДУША ЧЕЛОВЕКА НЕ СТАРЕЕТ"	"Июль 29th, 2015 10:55 ДП"	"-"	"Наши земляки"	"2015/July/1443.txt"
"ИНФОРМКУРЬЕР"	"Июль 29th, 2015 10:53 ДП"	"-"	"Район: день за днем"	"2015/July/1444.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"Июль 29th, 2015 10:53 ДП"	"-"	"Народ и власть"	"2015/July/1445.txt"
"«ВМЕСТЕ УЧИЛИСЬ И ВМЕСТЕ МЕЧТАЛИ ВЫСЬ ПОКОРИТЬ НАВСЕГДА»"	"Июль 29th, 2015 10:52 ДП"	"-"	"Это интересно"	"2015/July/1446.txt"
"ИДЕТ УБОРОЧНАЯ СТРАДА"	"Июль 29th, 2015 10:52 ДП"	"-"	"Район: день за днем"	"2015/July/1447.txt"
"С ДОБРОМ К ЛЮДЯМ"	"Июль 29th, 2015 10:50 ДП"	"-"	"Наши земляки"	"2015/July/1448.txt"
"НЕЗАВИСИМАЯ ОЦЕНКА ПОЖАРНЫХ РИСКОВ"	"Июль 16th, 2015 08:12 ПП"	"-"	"Службы информируют"	"2015/July/1449.txt"
"ИМЯ ПОБЕДЫ"	"Июль 16th, 2015 08:06 ПП"	"-"	"К 70-летию Великой Победы"	"2015/July/1450.txt"
"УГОЛОК ДЕТСТВА"	"Июль 16th, 2015 08:02 ПП"	"-"	"Письмо в газету"	"2015/July/1451.txt"
"ВПЕРЕДИ — ЖАТВА"	"Июль 16th, 2015 12:50 ПП"	"-"	"Район: день за днем"	"2015/July/1452.txt"
"ВЫСТАВКА РАБОТ УЧАСТНИКОВ ПЛЕНЭРА"	"Июль 23rd, 2015 08:57 ДП"	"-"	"Район: день за днем"	"2015/July/1453.txt"
"ИНФОРМКУРЬЕР"	"Июль 23rd, 2015 08:56 ДП"	"-"	"Район: день за днем"	"2015/July/1454.txt"
"100 ЛЕТ С ЧИТАТЕЛЯМИ"	"Июль 23rd, 2015 08:56 ДП"	"-"	"Это интересно"	"2015/July/1455.txt"
"В БРЯНСКЕ СТАРТУЕТ ПОДГОТОВКА КО ДНЮ ГОРОДА"	"Июль 23rd, 2015 08:54 ДП"	"-"	"Информация"	"2015/July/1456.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"Июль 23rd, 2015 08:53 ДП"	"-"	"Народ и власть"	"2015/July/1457.txt"
"СПЕШИТЕ ДЕЛАТЬ ДОБРО!"	"Июль 23rd, 2015 08:52 ДП"	"-"	"Службы информируют"	"2015/July/1458.txt"
"ВЯЗЬМА — НЕИЗВЕСТНАЯ СТОЛИЦА"	"Июль 23rd, 2015 08:52 ДП"	"-"	"Это интересно"	"2015/July/1459.txt"
"НА ПОРОГЕ ВЗРОСЛОЙ ЖИЗНИ"	"Май 28th, 2015 11:23 ДП"	"Александр КАЗАКОВ."	"Район: день за днем"	"2015/May/1460.txt"
"ПЕСЕННЫЙ МАРАФОН В БРЯНСКОМ РАЙОНЕ"	"Май 28th, 2015 11:21 ДП"	"Ирина ЛИТВИНОВА."	"Район: день за днем"	"2015/May/1461.txt"
"НА ПОВЕСТКЕ ДНЯ — ЗАЩИТА РАСТЕНИЙ"	"Май 28th, 2015 11:20 ДП"	"Валентин СТЕПАНОВ."	"Район: день за днем"	"2015/May/1462.txt"
"К ЛЕТУ ГОТОВЫ!"	"Май 28th, 2015 11:20 ДП"	"Детский сад Мичуринской школы."	"Письмо в газету"	"2015/May/1463.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"Май 20th, 2015 03:02 ПП"	"-"	"Народ и власть"	"2015/May/1464.txt"
"В МУЗЕЕ — КАБИНЕТ ДИНАБУРГСКОГО"	"Май 20th, 2015 03:00 ПП"	"Александр КАЗАКОВ."	"Наши земляки"	"2015/May/1465.txt"
"ДЕНЬ СЛАВЯНСКОЙ ПИСЬМЕННОСТИ И КУЛЬТУРЫ В БРЯНСКОМ РАЙОНЕ"	"Май 20th, 2015 02:59 ПП"	"-"	"Информация"	"2015/May/1466.txt"
"В ДОБРЫЙ ПУТЬ, ПРИЗЫВНИКИ!"	"Май 20th, 2015 02:58 ПП"	"Виктор ПИСАРЕВ."	"Наши земляки"	"2015/May/1467.txt"
"НЕ ДОПУСКАТЬ ЗАДОЛЖЕННОСТИ ПО НАЛОГАМ"	"Май 20th, 2015 02:57 ПП"	"Артем СЕРГЕЕВ."	"Службы информируют"	"2015/May/1468.txt"
"В БРЯНСКОЙ ОБЛАСТНОЙ ДУМЕ"	"Май 20th, 2015 02:57 ПП"	"-"	"Народ и власть"	"2015/May/1469.txt"
"МАЛЕНЬКИЕ ГЕРОИ БОЛЬШОЙ ВОЙНЫ"	"Май 20th, 2015 02:56 ПП"	"Е.М. Увижева."	"Культурно-массовые, спортивные и общественно-просветительские мероприятия"	"2015/May/1470.txt"
"УЧАСТНИК ШТУРМА РЕЙХСТАГА"	"Май 20th, 2015 02:55 ПП"	"Карина Сигаева,"	"«Творцы Победы»"	"2015/May/1471.txt"
"ЧЕРЕЗ ВЕКА, ЧЕРЕЗ ГОДА — ПОМНИТЕ!"	"Май 20th, 2015 02:54 ПП"	"И.А. Плахов."	"Культурно-массовые, спортивные и общественно-просветительские мероприятия"	"2015/May/1472.txt"
"БЛАГОУСТРОИЛИ ПАМЯТНИК"	"Май 20th, 2015 02:53 ПП"	"Д. Воробьева, 10 класс."	"Культурно-массовые, спортивные и общественно-просветительские мероприятия"	"2015/May/1473.txt"
"СОЧИНСКИЙ ЕВГЕНИЙ ФЕДОРОВИЧ"	"Март 21st, 2015 12:08 ПП"	"-"	"Вручение юбилейной медали «70 лет Победы в Великой Отечественной войне 1941-1945 гг.»"	"2015/March/1474.txt"
"ДОРОХОВА ЕКАТЕРИНА ЯКОВЛЕВНА"	"Март 21st, 2015 11:52 ДП"	"-"	"Вручение юбилейной медали «70 лет Победы в Великой Отечественной войне 1941-1945 гг.»"	"2015/March/1475.txt"
"МАСЛЁНОВ МИХАИЛ НИКИФОРОВИЧ"	"Март 21st, 2015 11:46 ДП"	"-"	"Вручение юбилейной медали «70 лет Победы в Великой Отечественной войне 1941-1945 гг.»"	"2015/March/1476.txt"
"ЛАТЫШЕВ НИКОЛАЙ ЯКОВЛЕВИЧ "	"Март 21st, 2015 11:34 ДП"	"-"	"Вручение юбилейной медали «70 лет Победы в Великой Отечественной войне 1941-1945 гг.»"	"2015/March/1477.txt"
"ТКАЧЕВ ВАСИЛИЙ ЕГОРОВИЧ"	"Март 21st, 2015 11:32 ДП"	"-"	"Вручение юбилейной медали «70 лет Победы в Великой Отечественной войне 1941-1945 гг.»"	"2015/March/1478.txt"
"ЖУКОВ ИВАН ЕФРЕМОВИЧ"	"Март 21st, 2015 11:08 ДП"	"-"	"Вручение юбилейной медали «70 лет Победы в Великой Отечественной войне 1941-1945 гг.»"	"2015/March/1479.txt"
"АРТАМОНОВ СЕРГЕЙ ИВАНОВИЧ"	"Март 21st, 2015 10:51 ДП"	"-"	"Вручение юбилейной медали «70 лет Победы в Великой Отечественной войне 1941-1945 гг.»"	"2015/March/1480.txt"
"ПОД ЗНАМЕНЕМ ПОБЕДЫ ПО БРЯНСКОЙ ЗЕМЛЕ"	"Март 10th, 2015 12:52 ПП"	"-"	"К 70-летию Великой Победы"	"2015/March/1481.txt"
"НЕ УПУСТИТЬ АГРОТЕХНИЧЕСКИЕ СРОКИ"	"Март 27th, 2015 09:36 ДП"	"Константин ЩЕГЛОВ."	"Район: день за днем"	"2015/March/1482.txt"
"НАВСТРЕЧУ ВЕЛИКОМУ ПРАЗДНИКУ"	"Январь 21st, 2015 12:59 ПП"	"-"	"К 70-летию Великой Победы"	"2015/January/1483.txt"
"ИНФОРМКУРЬЕР"	"Январь 21st, 2015 12:58 ПП"	"-"	"Район: день за днем"	"2015/January/1484.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"Январь 21st, 2015 12:58 ПП"	"-"	"Народ и власть"	"2015/January/1485.txt"
"СОТРУДНИЧЕСТВО ВО ИМЯ РАЗВИТИЯ"	"Январь 21st, 2015 12:57 ПП"	"Наталия КРАСНОСЕЛЬСКАЯ."	"Наши земляки"	"2015/January/1486.txt"
